,n_counts,highly_variable,highly_variable_rank,means,variances,variances_norm
19941,3.9711543550815898,True,2751.0,0.00015868114581161951,0.00018744760838208352,1.2528278073122765
19949,3.739841286355901,True,1536.0,0.00014943823568911937,0.00019615579856557943,1.3965013208841703
19957,12.570462309008517,True,1278.0,0.0005022961044117524,0.0007075964200695446,1.4508416081765505
19958,6.122730737696746,True,2596.0,0.0002446547885278009,0.00029592281466006337,1.2661101658568121
19959,14.776645056429622,True,1824.0,0.0005904517324554314,0.000780578123473872,1.3550528094422922
19980,9.447012762335394,True,2928.0,0.0003774879230534402,0.0004507703880171503,1.2390717209841915
19984,2.8695482080134083,True,2732.0,0.00011466267913423673,0.00013307793454882252,1.2543871393804658
19993,4.910483076173227,True,1345.0,0.0001962152591773846,0.0003030014257597043,1.4339314034224222
20002,28.788436685596327,True,1370.0,0.0011503411126666798,0.0016299275545688199,1.4281069329827967
20005,5.023940618561193,True,1711.0,0.00020074884594266734,0.00026129324044744516,1.3700978719652095
20008,16.35788317891136,True,1411.0,0.0006536355461884185,0.0009087608473841342,1.4204981571818671
20016,21.475735799534558,True,2446.0,0.0008581369695330681,0.0010845219171315976,1.2819379107564939
20020,5.411126652776158,True,2203.0,0.000216220197106056,0.0002685905447352424,1.3051339149696732
20024,2.5549979663871962,True,1981.0,0.00010209374116467659,0.00014269086177576742,1.3346329005012525
20026,4.081375320398566,True,1960.0,0.000163085403995787,0.00020582252261195112,1.3368571746764484
20032,42.73411909989587,True,2064.0,0.0017075888715694027,0.0022530869882440136,1.3245195468512432
20035,2.9117900076764074,True,2170.0,0.00011635059568754124,0.00014109735748508997,1.3094220930242055
20064,2.7496761283860693,True,1490.0,0.000109872777446898,0.00016148902201046922,1.4049692420876747
20066,7.834928645588735,True,2528.0,0.00031307155141008285,0.0003820644552468779,1.2721821323604272
20085,13.024772035489836,True,1143.0,0.0005204496138212194,0.000750955359153544,1.4846293116830702
20089,7.907587609425888,True,2207.0,0.00031597489049092493,0.0003955365213007268,1.3047261784465578
20091,2.3500984858591405,True,2936.0,9.390627690638299e-05,0.00012726045069179516,1.2386729780268142
20093,6.218614678091354,True,1045.0,0.0002484861615156779,0.0003595274904155254,1.5139431074083587
20104,9.959643842395796,True,2500.0,0.0003979718629583551,0.0004898947563827679,1.275505259300575
20113,8.220681239827552,True,2405.0,0.0003284856245435768,0.0004052811827273972,1.2849486212909147
20123,6.0064457493816255,True,1298.0,0.00024000822142498303,0.00033113965937915164,1.4449754146666471
20135,48.118969750937964,True,897.0,0.0019227591205521442,0.0029871731773130237,1.5570434236961666
20138,12.567052520857919,True,2767.0,0.0005021598545855477,0.0006104630559883107,1.2520296287778911
20140,8.379516440706876,True,2462.0,0.0003348324318991,0.00041158895953866104,1.2796307646631746
20162,9.191004026103958,True,2707.0,0.0003672582125031551,0.0004444518512188385,1.2566605133442772
