001  00326 |Loss: 0.881 | Accuracy: 88.286% 
001  00327 |Loss: 0.881 | Accuracy: 88.303% 
001  00328 |Loss: 0.880 | Accuracy: 88.319% 
001  00329 |Loss: 0.880 | Accuracy: 88.355% 
001  00330 |Loss: 0.879 | Accuracy: 88.352% 
001  00331 |Loss: 0.879 | Accuracy: 88.331% 
001  00332 |Loss: 0.879 | Accuracy: 88.347% 
001  00333 |Loss: 0.878 | Accuracy: 88.373% 
001  00334 |Loss: 0.878 | Accuracy: 88.370% 
001  00335 |Loss: 0.877 | Accuracy: 88.396% 
001  00336 |Loss: 0.877 | Accuracy: 88.402% 
001  00337 |Loss: 0.877 | Accuracy: 88.409% 
001  00338 |Loss: 0.876 | Accuracy: 88.434% 
001  00339 |Loss: 0.876 | Accuracy: 88.431% 
001  00340 |Loss: 0.876 | Accuracy: 88.447% 
001  00341 |Loss: 0.876 | Accuracy: 88.435% 
001  00342 |Loss: 0.875 | Accuracy: 88.441% 
001  00343 |Loss: 0.875 | Accuracy: 88.438% 
001  00344 |Loss: 0.875 | Accuracy: 88.436% 
001  00345 |Loss: 0.875 | Accuracy: 88.442% 
001  00346 |Loss: 0.874 | Accuracy: 88.457% 
001  00347 |Loss: 0.874 | Accuracy: 88.455% 
001  00348 |Loss: 0.874 | Accuracy: 88.470% 
001  00349 |Loss: 0.874 | Accuracy: 88.449% 
001  00350 |Loss: 0.874 | Accuracy: 88.473% 
001  00351 |Loss: 0.874 | Accuracy: 88.453% 
001  00352 |Loss: 0.873 | Accuracy: 88.477% 
001  00353 |Loss: 0.873 | Accuracy: 88.483% 
001  00354 |Loss: 0.872 | Accuracy: 88.515% 
001  00355 |Loss: 0.872 | Accuracy: 88.521% 
001  00356 |Loss: 0.872 | Accuracy: 88.527% 
001  00357 |Loss: 0.872 | Accuracy: 88.542% 
001  00358 |Loss: 0.872 | Accuracy: 88.547% 
001  00359 |Loss: 0.872 | Accuracy: 88.518% 
001  00360 |Loss: 0.871 | Accuracy: 88.550% 
001  00361 |Loss: 0.871 | Accuracy: 88.539% 
001  00362 |Loss: 0.871 | Accuracy: 88.536% 
001  00363 |Loss: 0.871 | Accuracy: 88.567% 
001  00364 |Loss: 0.870 | Accuracy: 88.599% 
001  00365 |Loss: 0.869 | Accuracy: 88.613% 
001  00366 |Loss: 0.869 | Accuracy: 88.636% 
001  00367 |Loss: 0.868 | Accuracy: 88.667% 
001  00368 |Loss: 0.868 | Accuracy: 88.663% 
001  00369 |Loss: 0.868 | Accuracy: 88.652% 
001  00370 |Loss: 0.867 | Accuracy: 88.666% 
001  00371 |Loss: 0.867 | Accuracy: 88.671% 
001  00372 |Loss: 0.866 | Accuracy: 88.684% 
001  00373 |Loss: 0.866 | Accuracy: 88.681% 
001  00374 |Loss: 0.866 | Accuracy: 88.712% 
001  00375 |Loss: 0.865 | Accuracy: 88.742% 
001  00376 |Loss: 0.865 | Accuracy: 88.755% 
001  00377 |Loss: 0.864 | Accuracy: 88.760% 
001  00378 |Loss: 0.864 | Accuracy: 88.765% 
001  00379 |Loss: 0.864 | Accuracy: 88.762% 
001  00380 |Loss: 0.863 | Accuracy: 88.783% 
001  00381 |Loss: 0.863 | Accuracy: 88.788% 
001  00382 |Loss: 0.863 | Accuracy: 88.793% 
001  00383 |Loss: 0.863 | Accuracy: 88.797% 
001  00384 |Loss: 0.862 | Accuracy: 88.810% 
001  00385 |Loss: 0.862 | Accuracy: 88.823% 
001  00386 |Loss: 0.862 | Accuracy: 88.844% 
001  00387 |Loss: 0.861 | Accuracy: 88.857% 
001  00388 |Loss: 0.861 | Accuracy: 88.869% 
001  00389 |Loss: 0.860 | Accuracy: 88.890% 
001  00390 |Loss: 0.860 | Accuracy: 88.902% 
001  00391 |Loss: 0.860 | Accuracy: 88.891% 
001  00392 |Loss: 0.861 | Accuracy: 88.879% 
001  00393 |Loss: 0.860 | Accuracy: 88.892% 
001  00394 |Loss: 0.860 | Accuracy: 88.904% 
001  00395 |Loss: 0.859 | Accuracy: 88.916% 
001  00396 |Loss: 0.859 | Accuracy: 88.928% 
001  00397 |Loss: 0.859 | Accuracy: 88.933% 
